lesson_name,image,url
I am ~. You are ~.,https://media.eboard.jp/media/content_images/jenglish_Iamyouare_20180817.png,https://www.eboard.jp/content/41/
This is ~. He is ~.,https://media.eboard.jp/media/content_images/jenglish_thisis_20180817.png,https://www.eboard.jp/content/42/
"Check the date, time, day of the week, and weather",https://media.eboard.jp/media/content_images/jenglish_tenki_20180817.png,https://www.eboard.jp/content/144/
general verb,https://media.eboard.jp/media/content_images/jenglish_doshi_20180817.png,https://www.eboard.jp/content/45/
"Article, plural noun",https://media.eboard.jp/media/content_images/jenglish_kanshifukusukei_20180817.png,https://www.eboard.jp/content/156/
Words (pronouns) that represent people or things,https://media.eboard.jp/media/content_images/jenglish_daimeishi_20180817.png,https://www.eboard.jp/content/146/
triple singular s,https://media.eboard.jp/media/content_images/jenglish_santange_20180817.png,https://www.eboard.jp/content/149/
Imperatives/exclamations,https://media.eboard.jp/media/content_images/jenglish_meireibun_20180817.png,https://www.eboard.jp/content/47/
Interrogative,https://media.eboard.jp/media/content_images/jenglish_gimonshi_20180817.png,https://www.eboard.jp/content/48/
Present progressive form,https://media.eboard.jp/media/content_images/jenglish_shinkoukei_20180817.png,https://www.eboard.jp/content/51/
can: can,https://media.eboard.jp/media/content_images/jENG_12_can.png,https://www.eboard.jp/content/148/
preposition,https://media.eboard.jp/media/content_images/zenchishi.png,https://www.eboard.jp/content/548/
past tense (general verb),https://media.eboard.jp/media/content_images/jenglish_kakokei_20180817.png,https://www.eboard.jp/content/49/
"past tense (verb be), past continuous tense",https://media.eboard.jp/media/content_images/jenglish_kakokei_20180817.png,https://www.eboard.jp/content/153/
Sentences expressing the future,https://media.eboard.jp/media/content_images/jenglish_mirai_20180817.png,https://www.eboard.jp/content/50/
conjunction,https://media.eboard.jp/media/content_images/setsuzokushi.png,https://www.eboard.jp/content/549/
auxiliary verb,https://media.eboard.jp/media/content_images/jenglish_jyodoshi_20180817.png,https://www.eboard.jp/content/52/
There is/There are ~.,https://media.eboard.jp/media/content_images/jENG_17_there.png,https://www.eboard.jp/content/154/
to do ~ (gerund and infinitive),https://media.eboard.jp/media/content_images/jENG_18_GerundTo.png,https://www.eboard.jp/content/155/
infinitive,https://media.eboard.jp/media/content_images/jENG_19_toinfinitives.png,https://www.eboard.jp/content/53/
comparison,https://media.eboard.jp/media/content_images/jenglish_hikaku_20180817.png,https://www.eboard.jp/content/54/
Passive voice (passive),https://media.eboard.jp/media/content_images/jenglish_ukemi_20180817.png,https://www.eboard.jp/content/58/
Present perfect,https://media.eboard.jp/media/content_images/jenglish_kanryo_20180817.png,https://www.eboard.jp/content/60/
sentence pattern,https://media.eboard.jp/media/content_images/jenglish_bunkei_20180817.png,https://www.eboard.jp/content/57/
various questions,https://media.eboard.jp/media/content_images/jenglish_gimonshi_20180817.png,https://www.eboard.jp/content/59/
Infinitive syntax,https://media.eboard.jp/media/content_images/jENG_19_toinfinitives.png,https://www.eboard.jp/content/56/
participle,https://media.eboard.jp/media/content_images/jENG_26_participles.png,https://www.eboard.jp/content/61/
relative pronoun,https://media.eboard.jp/media/content_images/jENG_27_relativepronoun.png,https://www.eboard.jp/content/62/
subjunctive mood,https://media.eboard.jp/media/content_images/kateiho.png,https://www.eboard.jp/content/550/
