lesson_name,image,url
言葉の単位と文節,https://media.eboard.jp/media/content_images/01_bumpo_kotobatanni_201202.png,https://www.eboard.jp/content/472/
文の成分と連文節,https://media.eboard.jp/media/content_images/02_bumpo_bunnnoseibun_201202.png,https://www.eboard.jp/content/493/
単語の分類,https://media.eboard.jp/media/content_images/03_bumpo_tango_201202.png,https://www.eboard.jp/content/473/
指示する語句・接続する語句,https://media.eboard.jp/media/content_images/04_bumpo_shijigo_201202.png,https://www.eboard.jp/content/474/
いろいろな表現技法,https://media.eboard.jp/media/content_images/05_bumpo_hyogen_201202.png,https://www.eboard.jp/content/478/
漢字と熟語,https://media.eboard.jp/media/content_images/06_bumpo_kanji_201202.png,https://www.eboard.jp/content/492/
いろは歌,https://media.eboard.jp/media/content_images/jhkobun_irohauta_20190104.png,https://www.eboard.jp/content/441/
竹取物語,https://media.eboard.jp/media/content_images/jhkobun_taketori_20190104.png,https://www.eboard.jp/content/442/
伊曽保物語,https://media.eboard.jp/media/content_images/jhkobun_isoho_20190104.png,https://www.eboard.jp/content/443/
漢文の読み方,https://media.eboard.jp/media/content_images/jhkobun_kanbunnoyomikata_20190508.png,https://www.eboard.jp/content/458/
故事成語,https://media.eboard.jp/media/content_images/jhkobun_kojiseigo_20190508.png,https://www.eboard.jp/content/459/
類義語・対義語・多義語,https://media.eboard.jp/media/content_images/07_bumpo_ruigigo_201202.png,https://www.eboard.jp/content/479/
動詞,https://media.eboard.jp/media/content_images/08_bumpo_doshi_201202.png,https://www.eboard.jp/content/480/
形容詞・形容動詞,https://media.eboard.jp/media/content_images/09_bumpo_keiyoshi_201202.png,https://www.eboard.jp/content/482/
名詞,https://media.eboard.jp/media/content_images/10_bumpo_meishishi_201202.png,https://www.eboard.jp/content/481/
副詞・連体詞,https://media.eboard.jp/media/content_images/11_bumpo_fukushi_201202.png,https://www.eboard.jp/content/484/
接続詞・感動詞,https://media.eboard.jp/media/content_images/12_bumpo_setsuzokushi_201202.png,https://www.eboard.jp/content/483/
助詞,https://media.eboard.jp/media/content_images/13_bumpo_joshi_201202.png,https://www.eboard.jp/content/487/
助動詞①,https://media.eboard.jp/media/content_images/14_bumpo_jodoshi1_201202.png,https://www.eboard.jp/content/488/
助動詞②,https://media.eboard.jp/media/content_images/15_bumpo_jodoshi2_201202.png,https://www.eboard.jp/content/489/
枕草子,https://media.eboard.jp/media/content_images/jhkobun_makuranososhi_20190104.png,https://www.eboard.jp/content/440/
徒然草,https://media.eboard.jp/media/content_images/jhkobun_tsurezuregusa_20190104.png,https://www.eboard.jp/content/444/
平家物語①,https://media.eboard.jp/media/content_images/jhkobun_heike_20190104.png,https://www.eboard.jp/content/445/
平家物語②,https://media.eboard.jp/media/content_images/arrow.png,https://www.eboard.jp/content/471/
漢詩①,https://media.eboard.jp/media/content_images/jhkobun_kanshinokiso_20190508.png,https://www.eboard.jp/content/461/
漢詩②,https://media.eboard.jp/media/content_images/jhkobun_kanshiwoyomu_20190508.png,https://www.eboard.jp/content/460/
敬語,https://media.eboard.jp/media/content_images/16_bumpo_keigo_201202.png,https://www.eboard.jp/content/490/
いろいろな語,https://media.eboard.jp/media/content_images/17_bumpo_iroiro_201202.png,https://www.eboard.jp/content/491/
論語,https://media.eboard.jp/media/content_images/jhkobun_rongo_20190508.png,https://www.eboard.jp/content/462/
和歌の世界,https://media.eboard.jp/media/content_images/jhkobun_waka_20190104.png,https://www.eboard.jp/content/446/
おくの細道,https://media.eboard.jp/media/content_images/jhkobun_okunohosomichi_20190215.png,https://www.eboard.jp/content/448/
文学史,https://media.eboard.jp/media/content_images/jhkobun_bungakushi_20190215.png,https://www.eboard.jp/content/447/
